Main Genre,Main Production,Release Year,Title,Duration,Index,Number Of Votes,Score
drama,DE,2019,System Crasher,118,108,12699,7.8
documentary,US,2019,The Game Changers,88,109,19708,7.8
drama,US,1990,Awakenings,120,110,137549,7.8
thriller,IN,2019,Badla,120,111,27130,7.8
thriller,IN,2013,Madras Cafe,130,112,24319,7.7
war,US,2015,Beasts of No Nation,137,113,80129,7.7
drama,US,1967,Bonnie and Clyde,110,114,111189,7.7
drama,MX,2018,Roma,135,115,153508,7.7
romance,IN,2016,Kapoor & Sons,132,116,25792,7.7
drama,TR,2015,Mucize,136,117,12395,7.7
thriller,FR,2017,Wind River,106,118,240408,7.7
comedy,IN,2008,Oye Lucky! Lucky Oye!,126,119,17411,7.7
thriller,US,1971,Dirty Harry,102,120,153463,7.7
comedy,US,2017,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",94,121,25593,7.7
fantasy,JP,2012,Berserk: The Golden Age Arc II - The Battle for Doldrey,80,122,10257,7.7
drama,US,2012,Silver Linings Playbook,122,123,697481,7.7
drama,IN,2018,Sanju,161,124,52227,7.7
drama,US,2012,Argo,120,125,600392,7.7
romance,IN,2007,Guru,166,126,23541,7.7
thriller,US,2002,Road to Perdition,117,127,263212,7.7
drama,US,2020,The Trial of the Chicago 7,130,128,170728,7.7
romance,US,1989,When Harry Met Sally...,96,129,212913,7.7
drama,IN,2008,Rock On!!,144,130,21963,7.7
comedy,TR,2017,In the Family,124,131,23297,7.7
romance,IN,2011,Pyaar Ka Punchnama,149,132,21204,7.7
fantasy,US,2011,Midnight in Paris,94,133,413541,7.7
thriller,US,1997,Donnie Brasco,127,134,300073,7.7
drama,US,2009,The Blind Side,129,135,323939,7.6
crime,GB,2009,Sherlock Holmes,129,136,620154,7.6
fantasy,US,2007,Stardust,122,137,269043,7.6
drama,IN,1998,Kuch Kuch Hota Hai,185,138,51640,7.6
drama,IN,2018,Parmanu: The Story of Pokhran,129,139,23771,7.6
