Age Certification,Description,Genres,Id,Imdb Id,Production Countries,Release Year,Title,Type,Imdb Score,Imdb Votes,Runtime,Seasons,Tmdb Popularity,Tmdb Score
TV-MA,"This collection includes 12 World War II-era propaganda films â€” many of which are graphic and offensive â€” discussed in the docuseries ""Five Came Back.""",['documentation'],ts300399,,['US'],1945,Five Came Back: The Reference Films,SHOW,,,51,1,0.6,
R,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,"['drama', 'crime']",tm84618,tt0075314,['US'],1976,Taxi Driver,MOVIE,8.2,808582,114,,40.965,8.179
R,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.","['drama', 'action', 'thriller', 'european']",tm154986,tt0068473,['US'],1972,Deliverance,MOVIE,7.7,107673,109,,10.01,7.3
PG,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".","['fantasy', 'action', 'comedy']",tm127384,tt0071853,['GB'],1975,Monty Python and the Holy Grail,MOVIE,8.2,534486,91,,15.461,7.811
,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy chÃ¢teau and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.","['war', 'action']",tm120801,tt0061578,"['GB', 'US']",1967,The Dirty Dozen,MOVIE,7.7,72662,150,,20.398,7.6
TV-14,"A British sketch comedy series with the shows being composed of surreality, risquÃ© or innuendo-laden humour, sight gags and observational sketches without punchlines.","['comedy', 'european']",ts22164,tt0063929,['GB'],1969,Monty Python's Flying Circus,SHOW,8.8,73424,30,4,17.617,8.306
R,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",['comedy'],tm70993,tt0079470,['GB'],1979,Life of Brian,MOVIE,8,395024,94,,17.77,7.8
R,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan â€“ famous for his take-no-prisoners approach to law enforcement â€“ is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.","['thriller', 'action', 'crime']",tm14873,tt0066999,['US'],1971,Dirty Harry,MOVIE,7.7,155051,102,,12.817,7.5
R,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.","['crime', 'drama', 'action']",tm119281,tt0061418,['US'],1967,Bonnie and Clyde,MOVIE,7.7,112048,110,,15.687,7.5
R,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?","['romance', 'action', 'drama']",tm98978,tt0080453,['US'],1980,The Blue Lagoon,MOVIE,5.8,69844,104,,50.324,6.156
,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","['action', 'drama', 'war']",tm44204,tt0054953,"['GB', 'US']",1961,The Guns of Navarone,MOVIE,7.5,50748,158,,13.844,7.3
PG-13,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,"['western', 'action', 'european']",tm67378,tt0060862,['US'],1966,The Professionals,MOVIE,7.3,16446,117,,13.123,7.1
R,"Richard Pryor delivers monologues on race, sex, family and his favorite targetâ€”himself, live at the Terrace Theatre in Long Beach, California.","['comedy', 'documentation']",tm69997,tt0079807,['US'],1979,Richard Pryor: Live in Concert,MOVIE,8.1,5141,78,,4.718,7.5
,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,"['romance', 'comedy']",tm16479,tt0047673,['US'],1954,White Christmas,MOVIE,7.5,42488,115,,8.915,7.2
,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.","['drama', 'crime', 'comedy']",tm135083,tt0051390,['EG'],1958,Cairo Station,MOVIE,7.5,4471,77,,5.546,7.3
PG,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.","['history', 'documentation', 'european']",tm89386,tt0191182,['DE'],1977,Hitler: A Career,MOVIE,7.5,2460,150,,4.305,7.3
R,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.","['war', 'documentation', 'music', 'comedy']",tm156453,tt0068562,['US'],1972,FTA,MOVIE,6.2,418,97,,1.268,6.1
,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",['drama'],tm14350,tt0077751,['EG'],1979,Alexandriaâ€¦ Why?,MOVIE,7.2,1727,133,,1.37,6
,"Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Then Mahmoud Bey proposes a project that would require taking part of the peasants' lands.",['drama'],tm81728,tt0064038,['EG'],1969,The Land,MOVIE,8.1,1958,129,,1.265,8.5
,"Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.","['drama', 'comedy', 'crime', 'romance', 'action']",tm94651,tt0080653,['IN'],1980,Dostana,MOVIE,2.1,25,161,,3.98,4.9
,"Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.","['action', 'drama', 'war', 'history', 'romance']",tm27298,tt0057357,['EG'],1963,Saladin the Victorious,MOVIE,7.6,2508,186,,4.156,7.1
,"The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.","['drama', 'romance', 'action', 'fantasy', 'family']",tm100027,tt0079749,"['SU', 'IN']",1979,Alibaba Aur 40 Chor,MOVIE,6.2,565,146,,2.582,6.8
,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.","['crime', 'romance', 'drama']",tm19608,tt0047500,['EG'],1954,The Blazing Sun,MOVIE,7.4,1219,100,,2.184,7
,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.","['action', 'drama', 'romance', 'thriller']",tm204541,tt0049761,['EG'],1956,Dark Waters,MOVIE,6.7,610,120,,0.849,5.9
,"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",['documentation'],tm259855,tt0170799,"['LB', 'CA', 'FR']",1979,We Are All for the Fatherland,MOVIE,6.1,47,74,,0.6,5.2
,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.","['drama', 'thriller', 'crime']",tm356209,tt0268639,['IN'],1960,Singapore,MOVIE,6.4,84,158,,0.792,6.3
TV-MA,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",['comedy'],ts45948,tt0202477,[],1972,Monty Python's Fliegender Zirkus,SHOW,8.1,2151,43,1,1.487,7
,"In the aftermath of the 1967 defeat, four young Lebanese try to figure out their places in a society whose rules seem to have changed. It proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.",['drama'],tm200475,tt0169599,['LB'],1975,"Beirut, Oh Beirut",MOVIE,6.4,108,110,,1.025,7.2
,"In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahineâ€™s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.","['music', 'drama', 'crime']",tm90896,tt0074168,"['DZ', 'EG']",1976,The Return of the Prodigal Son,MOVIE,7.2,780,124,,1.858,5.3
,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.","['crime', 'thriller']",tm336403,tt0230412,['IN'],1973,Khoon Khoon,MOVIE,5.1,41,131,,1.948,3.8
,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.","['romance', 'drama', 'comedy']",tm107372,tt0071811,['IN'],1974,Manoranjan,MOVIE,6.5,237,162,,1.532,5.3
,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.","['romance', 'crime', 'drama']",tm358653,tt0157132,['IN'],1959,Ujala,MOVIE,6.6,78,142,,0.84,6
,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",['documentation'],tm259684,tt0170803,"['CA', 'FR', 'LB']",1980,Whispers,MOVIE,7.8,78,93,,0.6,5
,"A small-time businessman (B.S. Sood) reaches the ""naughty forties"". Now his wife is not good enough anymore, so he decides he needs a modern up to date mistress, resulting in hilarious situations.",['romance'],tm403346,tt3290368,['IN'],1976,Chadi Jawani Budhe Nu,MOVIE,4.6,14,135,,0.62,6
,"Maharaj Brajbhan lives a wealthy lifestyle in Bharatpur, India along with his wife, Badi Rani, but have been unable to conceive for Bharatpur, and have no choice but to leave it's reigns with Brajban's widowed cousin, Vikram, and his son, Kanchan. When Vikram finds out that Badi Rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the Maharaj, and then decides to have her killed. But her killer has a change of heart and lets her live. She gives birth to a son, names him Bhola, and starts living a simple lifestyle in a Mandir with the help of it's Poojary. Years later Vikram finds out she is alive and kills her, as well the Poojary and the Poojary's son. Bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.","['drama', 'action', 'romance']",tm16812,tt1219315,['IN'],1978,Bandie,MOVIE,4.4,35,141,,1.166,6
TV-PG,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,['comedy'],ts20681,tt0098904,['US'],1989,Seinfeld,SHOW,8.9,308824,24,9,130.213,8.301
R,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","['drama', 'crime']",tm155787,tt0099685,['US'],1990,GoodFellas,MOVIE,8.7,1131681,145,,50.387,8.463
R,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"['war', 'drama']",tm22327,tt0093058,"['US', 'GB']",1987,Full Metal Jacket,MOVIE,8.3,729274,117,,32.937,8.1
R,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","['crime', 'drama', 'european']",tm180542,tt0087843,"['US', 'IT']",1984,Once Upon a Time in America,MOVIE,8.3,345714,139,,28.937,8.453
R,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.","['comedy', 'romance', 'drama']",tm138875,tt0098635,['US'],1989,When Harry Met Sally...,MOVIE,7.7,216199,96,,15.123,7.4
R,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",['horror'],tm2386,tt0087800,"['GB', 'US']",1984,A Nightmare on Elm Street,MOVIE,7.4,234068,91,,48.358,7.3
PG,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.","['comedy', 'drama', 'romance']",tm133087,tt0098384,['US'],1989,Steel Magnolias,MOVIE,7.3,54946,119,,11.69,7.2
R,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!","['crime', 'comedy']",tm177480,tt0087928,['US'],1984,Police Academy,MOVIE,6.7,124881,97,,25.533,6.6
R,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.","['horror', 'thriller', 'european']",tm54450,tt0085333,['US'],1983,Christine,MOVIE,6.7,81922,110,,23.418,6.8
TV-PG,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.","['scifi', 'action', 'crime', 'drama']",ts22082,tt0083437,['US'],1982,Knight Rider,SHOW,6.9,34115,51,4,50.267,7.5
TV-Y,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.","['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",ts21715,tt0086815,['GB'],1984,Thomas & Friends,SHOW,6.5,5104,10,24,42.196,6.5
TV-G,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.","['family', 'comedy', 'romance']",ts20678,tt0096694,['US'],1989,Saved by the Bell,SHOW,7.1,35034,23,5,19.855,8
PG-13,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.","['drama', 'european']",tm145608,tt0099077,['US'],1990,Awakenings,MOVIE,7.8,139240,120,,12.23,7.8
TV-G,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",['family'],ts25028,tt0072584,['US'],1983,Wheel of Fortune,SHOW,6.7,3145,26,39,5.935,6.8
PG-13,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.","['comedy', 'european']",tm147710,tt0097958,['US'],1989,National Lampoon's Christmas Vacation,MOVIE,7.5,185760,97,,18.862,7.2
PG-13,"When principal Joe Clark takes over decaying Eastside High School, he's faced with students wearing gang colors and graffiti-covered walls. Determined to do anything he must to turn the school around, he expels suspected drug dealers, padlocks doors and demands effort and results from students, staff and parents. Autocratic to a fault, this real-life educator put it all on the line.",['drama'],tm142895,tt0097722,['US'],1989,Lean On Me,MOVIE,7.4,20680,105,,19.449,7.3
R,"Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.","['comedy', 'documentation']",tm20712,tt0092948,['US'],1987,Eddie Murphy Raw,MOVIE,7.6,19757,90,,7.992,7.3
R,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.","['romance', 'comedy']",tm117580,tt0091939,['US'],1986,She's Gotta Have It,MOVIE,6.7,14472,84,,7.416,6.707
TV-PG,"Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.","['comedy', 'family']",ts23753,tt0096643,['US'],1989,Major Dad,SHOW,6.5,2922,24,4,9.849,6.5
R,"Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.","['romance', 'drama']",tm130586,tt0082329,['US'],1981,Endless Love,MOVIE,4.9,8524,116,,19.116,5.7
TV-Y,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.","['animation', 'comedy', 'family', 'scifi', 'european']",ts987,tt0081848,['GB'],1981,Danger Mouse,SHOW,7.4,3545,14,10,8.55,7.5
,"Ebin Mathew, a budding lawyer ambitiously joins hands with his advocate friend Madhavi Mohan, to share a new office space in order for them to start their independent careers. Their relationship gets strained when they land on opposite ends of a case.","['drama', 'thriller']",tm721687,tt13913068,['IN'],1983,Vaashi,MOVIE,6.7,388,123,,3.79,
,In UC 0093 the Federation has recovered from its defeat and has created a new anti-colonial special forces unit to deal with rebel forces: Londo Bell. Elsewhere in space Char Aznable re-appears out of self imposed hiding with a declaration that he now commands his own Neo-Zeon movementand intends to force the emigration of Earth's inhabitants to space by bringing about an apocalypse.,"['scifi', 'animation', 'action', 'drama', 'war']",tm40103,tt0095262,['JP'],1988,Mobile Suit Gundam: Char's Counterattack,MOVIE,7.3,1693,119,,8.092,6.7
,"After managing to survive attacks by Zeon's Char Aznable and Garma Zabi, the crew of Federation warship White Base and its mobile suits must battle Zeon forces through Asia, Europe, and the Atlantic Ocean if they are to reach Earth Federation's headquarters alive. During that process many of its crewmembers must overcome their fears, losses, immaturities, and insecurities in order to survive.","['animation', 'scifi', 'action', 'drama', 'war']",tm125985,tt0159510,['JP'],1981,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,7.2,1274,133,,13.125,7.2
TV-Y,"Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.","['animation', 'comedy', 'family', 'crime', 'european']",ts2760,tt0329829,['GB'],1987,Fireman Sam,SHOW,6.1,1785,10,13,37.647,7.2
R,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.","['comedy', 'documentation']",tm21953,tt0307403,['US'],1987,Sam Kinison: Breaking the Rules,MOVIE,7.2,660,50,,1.843,7.2
,"Mama Cora, who is almost eighty years old, has three sons and a daughter. She lives with one of them, who has serious financial problems. The family meets one day to celebrate an anniversary meal, and that is when the problem arises: which of them will take care of her?",['comedy'],tm126769,tt0089108,['AR'],1985,Waiting for the Hearse,MOVIE,8,6399,87,,7.81,8.1
,"Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.","['comedy', 'documentation']",tm152839,tt0259057,['US'],1990,Tim Allen: Men Are Pigs,MOVIE,6.1,360,30,,2.482,6.3
,"Amuro Ray and the rest of the White Base crew, now denominated the 13th Autonomous Corps, return to outer space to support the rest of the Earth Federation forces for the decisive battle against the Duchy of Zeon's forces.","['action', 'drama', 'war', 'animation', 'scifi']",tm49037,tt0159511,['JP'],1982,Mobile Suit Gundam III: Encounters in Space,MOVIE,7.6,1236,144,,12.741,7.5
R,"Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.","['comedy', 'documentation']",tm62924,tt0084352,['GB'],1982,Monty Python Live at the Hollywood Bowl,MOVIE,7.9,15230,81,,6.833,7.4
,"Anil, a street singer, is humiliated and driven out of Bombay along with his mother. However, he soon becomes a famous performer but the enemies from his past try to destroy his hard-earned career.","['drama', 'romance']",tm52815,tt0208903,['IN'],1982,Disco Dancer,MOVIE,6.4,1476,106,,7.879,5.3
,"The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?","['drama', 'action', 'crime']",tm159912,tt0098999,['IN'],1990,Agneepath,MOVIE,7.6,8947,174,,4.062,6.5
,"Steve Martin presents selected sketches from ""Monty Python's Flying Circus (1969)"". It's the well known sketches, though the parrot sketch is not included. Steve Martin has some funny comments on the Pythons.",['comedy'],tm133914,tt0213984,['GB'],1989,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,8.1,1522,72,,1.801,6.9
,"TV movie based upon the true story of Calvin Graham, who, as a 12 year old boy, enlisted in the US Navy during WWII.","['drama', 'war']",tm38736,tt0096286,['US'],1988,Too Young The Hero,MOVIE,6.7,502,100,,1.485,6.2
,Religious beliefs clash with the law when an Amish infant is killed in a rural community.,"['thriller', 'crime', 'drama']",tm51083,tt0096179,['US'],1988,A Stoning in Fulham County,MOVIE,5.9,387,120,,1.01,5.8
,"The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.",['drama'],tm137013,tt0098237,['US'],1989,The Ryan White Story,MOVIE,7.2,863,102,,1.981,5.9
,"Raja lives a poor lifestyle along with his dad, Hazariprasad and mom. He attends college where he has several run-ins with wealthy fellow-collegian, Madhu Mehra. Matters escalate to such an extent that she accuses him of sexually molesting her. When his dad comes to know, he decides to seize this chance to get rich quickly, masquerades as a wealthy businessman, approaches Mr. Mehra, and arranges for their children to get married. Murphy's law prevails at the time of the engagement - changing everyone's lives forever.","['drama', 'comedy', 'romance']",tm157603,tt0099429,['IN'],1990,Dil,MOVIE,6.6,5316,172,,3.992,6.5
,"Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.","['crime', 'drama']",tm258072,tt0090589,['US'],1986,Adam: His Song Continues,MOVIE,7,212,100,,1.603,7
,"Washington plays a school principal in a tough inner city Los Angeles high school out to rid it of drugs, gangs, low moral of teachers, and restore educational values.",['drama'],tm114356,tt0091106,['US'],1988,The George McKenna Story,MOVIE,6,921,100,,2.296,6.1
,"When a defense lawyer's adulterous husband becomes the prime suspect in the murder of the woman he was cheating with, his wife chooses to defend him. Can she overcome his betrayal while searching for the truth?","['drama', 'crime']",tm157853,tt0099396,['US'],1990,In Defense of a Married Man,MOVIE,5.6,207,94,,2.444,4.9
R,"Sane Man was filmed before Bill recorded â€˜Dangerousâ€™, his first comedy album, and is a turning point in Hicksâ€™ career. It was the first complete Hicks show ever filmed and Bill pulled out all the stops for the cameras. Completely focused, a newly-sober Hicks paces the stage like a wild animal riffing effortless.",['comedy'],tm132164,,['US'],1989,Bill Hicks: Sane Man,MOVIE,,,80,,3.377,7.5
,"The film follows the story of Shankar, who is regarded as a criminal by the society after being in jail for ten years since childhood.","['drama', 'action', 'crime']",tm446654,tt0097926,['IN'],1989,Mujrim,MOVIE,5.4,197,162,,1.418,6
,Inspector Amar Kaushal attempts to incarcerate wrong-doers in his society only lead to frustration when they are let off by the incompetence of the law and his superiors and seniors. Eventually Amar stands accused of killing several criminals and innocents which prompts him to take law into his own hands.,"['action', 'crime', 'thriller']",tm348735,tt0177505,['IN'],1988,Aakhri Adaalat,MOVIE,5.1,92,148,,1.374,5
,"Set in 1987 against the backdrop of a hunger strike by the Egyptian film industry, Chahine himself steps in to play Yehia, the famed Egyptian director whose life is chronicled in ""Alexandria, Why?"" and ""An Egyptian Story"". Obsessed with Amr, the handsome actor he discovered and cast as his alter-ego in parts one and two of The Alexandria Trilogy, Yehia pressures Amr to star in various film projects that change even as Yehia's perception of the young actor begins to change. He first casts Amr as Hamlet, which the actor deems too demanding for his talents, then as the lead in a musical biopic of demigod Alexander the Great, who founded the city of Alexandria in 332 B.C.",['drama'],tm151332,tt0099858,"['FR', 'EG']",1989,"Alexandria, Again and Forever",MOVIE,6.5,658,105,,0.817,5.3
,"Mohan Kumar's diligence and honesty lands him in trouble with Balwant Singh Kalra, Jugal Kishore Ahuja, and Mr. Bhandari. Together the trio frame and imprison Mohan and make him watch helplessly as his wife is killed. Years later, Mohan Kumar is released from prison, his only goal in life is to avenge his humiliation and wrongful arrest at the hands of the trio. With the help of Dinesh Verma, he establishes himself again, and starts the process of bringing death and destruction to the trio. The trio are well aware of his presence, and decide to send one of their men, Ravi, to spy on him. Ravi falls in love with Verma's daughter, Roma, and decides to change sides to help Verma and Mohan, but Mohan will not have anything to do with Ravi, and asks him to leave. Ravi then becomes a target by the trio and their men, and has to save himself, and the only way he can redeem himself is by turning the tables over Mohan, who is none other than his own father.Duniya","['action', 'drama']",tm342996,tt0301231,['IN'],1984,Duniya,MOVIE,6.3,245,170,,1.394,
,A family begins to fall apart when their eldest daughter is diagnosed with schizophrenia.,['drama'],tm24110,tt0094052,['US'],1987,Strange Voices,MOVIE,6.3,360,100,,2.76,6.8
,"Shankar's father leaves the family for Meenabai. He later learns that his father is dead. He sets out to find out Meenabai, who he thinks is behind his father's death.","['action', 'drama', 'thriller']",tm371359,tt0239495,['IN'],1986,Jaal,MOVIE,5.2,125,159,,3.366,5
