Age Certification,Description,Genres,Id,Imdb Id,Production Countries,Release Year,Title,Type,Imdb Score,Imdb Votes,Runtime,Seasons,Tmdb Popularity,Tmdb Score
TV-14,"Three years after the zombie virus has gutted the country, a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.","['action', 'comedy', 'drama', 'horror', 'romance', 'scifi']",ts20791,tt3843168,['US'],2014,Z Nation,SHOW,6.6,36415,43,5,66.412,7.2
R,"A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not aloneâ€¦ and that no good deed goes unpunished.","['thriller', 'horror']",tm161525,tt2403021,"['US', 'CA', 'CL']",2013,The Green Inferno,MOVIE,5.3,44016,100,,32.224,5.7
R,"After failing to get into the police academy, Chris Potamitis settles for a security guard job with an armoured truck company. After he makes the mistake of mentioning the company's lax security to his best friend, He's unwittingly drawn into an elaborate scheme to rob the abundant amounts of cash being stored on their premisesâ€”resulting in the largest cash heist in U.S.history.","['action', 'drama', 'crime', 'thriller', 'european']",tm168400,tt2171867,['US'],2013,Empire State,MOVIE,5.2,21538,94,,39.273,5.4
PG,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.","['family', 'animation', 'action', 'comedy', 'scifi']",tm161282,tt1911658,['US'],2014,Penguins of Madagascar,MOVIE,6.6,89930,92,,92.315,6.505
TV-MA,"An epic adventure that follows the early years of the famous explorer as he travels the exotic Silk Road to the great Kublai Khanâ€™s court. But Marco soon finds that navigating the Khanâ€™s world of greed, betrayal, sexual intrigue and rivalry will be his greatest challenge yet, even as he becomes a trusted companion to the Khan in his violent quest to become the Emperor of the World.","['action', 'drama', 'history', 'documentation']",ts20280,tt2189461,['US'],2014,Marco Polo,SHOW,8,71735,55,2,22.636,7.4
R,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,"['drama', 'thriller', 'action', 'crime']",tm148671,tt0365907,['US'],2014,A Walk Among the Tombstones,MOVIE,6.5,121232,113,,67.95,6.309
R,"Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abducted in the back of a man's car and calls 911, Jordan is the one called upon to use all of her experience, insights and quick thinking to help Casey escape, and not just to save her, but to make sure the man is brought to justice.","['thriller', 'crime', 'drama', 'horror', 'action', 'european']",tm171042,tt1911644,['US'],2013,The Call,MOVIE,6.7,121843,94,,41.764,6.8
PG-13,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.","['comedy', 'horror']",tm178712,tt0795461,['US'],2013,Scary Movie 5,MOVIE,3.5,71405,89,,122.985,4.8
TV-14,"The horror and crime thriller genres collide in this new original series from Robert Rodriguez, based on his cult grindhouse classic about bank-robbing brothers on the run, a lawman bent on bringing them to justice, the devout family caught in the cross-fire, and an ancient evil eager to feast on them all.","['scifi', 'action', 'crime', 'fantasy', 'horror']",ts20288,tt3337194,['US'],2014,From Dusk Till Dawn: The Series,SHOW,6.9,20132,45,3,24.329,6.3
TV-Y,"Set in the storybook world of Enchancia, this is the story of Princess Sofia, an adventurous little girl who is learning how to adjust to royal life after her mom marries the king and she becomes a princess overnight.","['animation', 'family', 'fantasy']",ts20281,tt2136138,['US'],2013,Sofia the First,SHOW,6.8,2978,24,4,44.688,7.2
